rank,actual_gross,adjusted_gross,artist,tour_title,shows,average_gross,finished,begin,end
1,500968896.0,780000000.0,Taylor Swift,The Eras Tour,56,9861298.0,False,2023-01-01,2024-12-31
2,500968896.0,579800000.0,Beyoncé,Renaissance World Tour,56,9861298.0,False,2023-01-01,2023-12-31
3,411000000.0,560622615.0,Madonna,Sticky & Sweet Tour,85,4835294.0,True,2008-01-01,2009-12-31
4,397300000.0,454751555.0,Pink,Beautiful Trauma World Tour,156,2546795.0,True,2018-01-01,2019-12-31
5,345675146.0,402844849.0,Taylor Swift,Reputation Stadium Tour,53,6522173.0,True,2018-01-01,2018-12-31
6,305158363.0,388978496.0,Madonna,The MDNA Tour,88,3467709.0,True,2012-01-01,2012-12-31
7,280000000.0,381932682.0,Celine Dion,Taking Chances World Tour,131,2137405.0,True,2008-01-01,2009-12-31
7,257600000.0,257600000.0,Pink,Summer Carnival,41,6282927.0,False,2023-01-01,2024-12-31
9,256084556.0,312258401.0,Beyoncé,The Formation World Tour,49,5226215.0,True,2016-01-01,2016-12-31
10,250400000.0,309141878.0,Taylor Swift,The 1989 World Tour,85,2945882.0,True,2015-01-01,2015-12-31
11,229100000.0,283202896.0,Beyoncé,The Mrs. Carter Show World Tour,132,1735606.0,True,2013-01-01,2014-12-31
12,227400000.0,295301479.0,Lady Gaga,The Monster Ball Tour,203,1118227.0,True,2009-01-01,2011-12-31
13,204000000.0,251856802.0,Katy Perry,Prismatic World Tour,151,1350993.0,True,2014-01-01,2015-12-31
14,200000000.0,299676265.0,Cher,Living Proof: The Farewell Tour,247,615385.0,True,2002-01-01,2005-12-31
15,194000000.0,281617035.0,Madonna,Confessions Tour,60,3233333.0,True,2006-01-01,2006-12-31
16,184000000.0,227452347.0,Pink,The Truth About Love Tour,142,1295775.0,True,2013-01-01,2014-12-31
17,170000000.0,213568571.0,Lady Gaga,Born This Way Ball,98,1734694.0,True,2012-01-01,2013-12-31
18,169800000.0,207046755.0,Madonna,Rebel Heart Tour,82,2070732.0,True,2015-01-01,2016-12-31
19,167700000.0,204486106.0,Adele,Adele Live 2016,121,1385950.0,True,2016-01-01,2017-12-31
20,150000000.0,185423109.0,Taylor Swift,The Red Tour,86,1744186.0,True,2013-01-01,2014-12-31
